iter	MAE
0	171.0373284
1	168.6454195
2	166.1399713
3	164.499173
4	162.1554178
5	159.9298908
6	157.7955351
7	155.6942773
8	153.6154949
9	151.642592
10	149.9325887
11	148.0246483
12	146.148388
13	144.2932211
14	142.4518498
15	140.6310997
16	138.8666682
17	137.0135257
18	135.3422646
19	133.6930692
20	132.0875338
21	130.5395801
22	128.9648302
23	127.4585702
24	125.9471615
25	124.4717578
26	123.0499627
27	121.6417081
28	120.2707005
29	118.9185197
30	117.5928448
31	116.330293
32	115.0767627
33	113.5972814
34	112.4241123
35	111.2279414
36	110.0743907
37	108.7474688
38	107.6649887
39	106.6453396
40	105.6782813
41	104.722331
42	103.8248016
43	102.9547394
44	102.1402002
45	101.3475727
46	100.5541221
47	99.42449544
48	98.69720081
49	97.99398871
50	96.94586814
51	95.96492174
52	94.97530997
53	94.02799892
54	93.05780506
55	92.10631317
56	91.19319096
57	90.27426755
58	89.41592927
59	88.56066787
60	87.72864787
61	86.94405788
62	86.12739652
63	85.51226867
64	84.73825819
65	84.01675103
66	83.29523564
67	82.58712026
68	81.8403259
69	81.13249563
70	80.44959192
71	79.7811218
72	79.1332246
73	78.50783907
74	77.89146013
75	77.2955262
76	76.58980185
77	75.93636879
78	75.38018829
79	74.82626388
80	74.27103339
81	73.72066456
82	73.2147323
83	72.729072
84	72.23678756
85	71.94469965
86	71.50720557
87	71.10734569
88	70.69227539
89	70.30206154
90	69.94827218
91	69.59145524
92	69.25071089
93	68.85435588
94	68.53342788
95	68.25579766
96	67.90824956
97	67.63985165
98	67.33164407
99	66.98246831
100	66.73771747
101	66.43336494
102	66.20396467
103	65.86923552
104	65.55587001
105	65.31702892
106	65.12175385
107	64.92649775
108	64.63796968
109	64.45278045
110	64.27872672
111	64.08599051
112	63.8002724
113	63.59107644
114	63.3570221
115	63.10512599
116	62.8461746
117	62.66624819
118	62.49853836
119	62.34296485
120	62.25107188
121	62.0575728
122	61.92469054
123	61.84531266
124	61.61641651
125	61.50355231
126	61.30612742
127	61.06971352
128	60.95690449
129	60.81971306
130	60.71313107
131	60.57499875
132	60.51225111
133	60.31750718
134	60.26397369
135	60.16611723
136	60.09438387
137	60.01654913
138	59.9669876
139	59.83957835
140	59.67872232
141	59.617999
142	59.51308181
143	59.43808034
144	59.36031792
145	59.31258852
146	59.26857387
147	59.13315945
148	59.09461309
149	59.05778208
150	59.0214704
151	58.8861386
152	58.77854729
153	58.73416601
154	58.6192095
155	58.57799064
156	58.47316129
157	58.411978
158	58.35184505
159	58.2347479
160	58.17601664
161	58.02138795
162	57.97309037
163	57.93271734
164	57.78855289
165	57.76167462
166	57.72927742
167	57.62051011
168	57.58856854
169	57.48951292
170	57.43802619
171	57.3855096
172	57.27741422
173	57.25170145
174	57.22937071
175	57.187149
176	57.16149695
177	57.1148164
178	57.08684056
179	56.98095135
180	56.95367702
181	56.91695365
182	56.89726173
183	56.88597184
184	56.85917378
185	56.8438038
186	56.81387842
187	56.79119038
188	56.69916008
189	56.67693772
190	56.65387112
191	56.63919893
192	56.59755128
193	56.57615127
194	56.53760469
195	56.51766228
196	56.49425492
197	56.47723838
198	56.45637414
199	56.42666239
200	56.36732472
201	56.35133423
202	56.25468636
203	56.18374158
204	56.14365861
205	56.12006347
206	56.08797617
207	56.05503969
208	55.97363061
209	55.94357403
210	55.91111414
211	55.84589801
212	55.83416766
213	55.82156978
214	55.80050314
215	55.76043918
216	55.6650575
217	55.64765182
218	55.62527634
219	55.6091588
220	55.59147744
221	55.55424961
222	55.43836655
223	55.38706715
224	55.37534324
225	55.3466506
226	55.25940636
227	55.24718209
228	55.15333268
229	55.07682433
230	55.00916175
231	54.99101671
232	54.92635463
233	54.90210225
234	54.88772598
235	54.82075943
236	54.78534941
237	54.72236542
238	54.71192214
239	54.68298262
240	54.59608018
241	54.58749932
242	54.56886571
243	54.50371873
244	54.48413639
245	54.41314963
246	54.38630048
247	54.31062108
248	54.29496437
249	54.24393533
250	54.17017019
251	54.11638635
252	54.04986193
253	54.03016719
254	54.01770736
255	54.00307799
256	53.93795183
257	53.89998829
258	53.88750387
259	53.8786413
260	53.86202331
261	53.78890445
262	53.74703326
263	53.67339236
264	53.65555238
265	53.61975356
266	53.61336474
267	53.60525817
268	53.56218811
269	53.53158414
270	53.4424766
271	53.43046324
272	53.36258959
273	53.30172368
274	53.28621905
275	53.28227561
276	53.27475856
277	53.26727745
278	53.22624656
279	53.16072139
280	53.14819057
281	53.14213997
282	53.07881381
283	53.07040617
284	53.05830854
285	53.036715
286	53.03005684
287	53.00763957
288	52.95390737
289	52.92216355
290	52.91515441
291	52.82227742
292	52.80114445
293	52.79824768
294	52.79151502
295	52.78046072
296	52.76624283
297	52.7561589
298	52.71777457
299	52.67740119
300	52.66777066
301	52.65551224
302	52.6061168
303	52.5851236
304	52.50056559
305	52.48531967
306	52.48221844
307	52.47977145
308	52.47543399
309	52.46711799
310	52.46496896
311	52.42466261
312	52.41175075
313	52.38522489
314	52.31543209
315	52.31077
316	52.30370528
317	52.29534448
318	52.29055521
319	52.27657461
320	52.27239048
321	52.2700697
322	52.26697767
323	52.25691478
324	52.24740077
325	52.24004265
326	52.23788386
327	52.22587884
328	52.21091005
329	52.20416771
330	52.20205623
331	52.17969597
332	52.17526878
333	52.11088336
334	52.09936405
335	52.07661347
336	52.03131223
337	52.0215825
338	52.01515105
339	51.99408657
340	51.97710096
341	51.9700013
342	51.95665814
343	51.93520578
344	51.92529144
345	51.91494967
346	51.9085489
347	51.87943555
348	51.86913897
349	51.86056863
350	51.82749924
351	51.78481114
352	51.75920464
353	51.75299046
354	51.74463736
355	51.72324205
356	51.72076397
357	51.71761664
358	51.70875595
359	51.70569691
360	51.70023069
361	51.69570417
362	51.69070114
363	51.68183796
364	51.66659048
365	51.64913434
366	51.64406534
367	51.63500503
368	51.60833157
369	51.60616283
370	51.58841935
371	51.58214802
372	51.5526579
373	51.534358
374	51.52964456
375	51.51660709
376	51.50071644
377	51.49019755
378	51.48553408
379	51.47352135
380	51.45983544
381	51.41005899
382	51.39871386
383	51.37414455
384	51.36817798
385	51.32628679
386	51.32033913
387	51.27515696
388	51.2695785
389	51.26241949
390	51.25118716
391	51.2459837
392	51.22472006
393	51.21953146
394	51.21641634
395	51.20888957
396	51.16663691
397	51.13679952
398	51.13116711
399	51.12066299
400	51.1122762
401	51.11018516
402	51.10542101
403	51.10183795
404	51.07067833
405	51.06736409
406	51.0485519
407	51.02795813
408	51.01991624
409	51.01586731
410	51.01360755
411	51.00547092
