Bin,Count,Avg_Feature_Value,Avg_Target,LGB_RMSLE,CAT_RMSLE,AVG_RMSLE,META_RMSLE,Improvement_Pct
-0.28--0.13,21,-0.2291557348799102,161.04761904761904,0.43933513011482617,0.4545029514121629,0.44280555415695305,0.4173570062685395,5.002587396219007
-0.13-0.02,20923,-0.0004924726890814022,226.75753954977776,0.45207793622952774,0.45485802812760867,0.45269285774380874,0.4446078617084022,1.6523864410256994
0.02-0.17,1890,0.12143798662411633,227.12804232804234,0.46908441818550256,0.46578222530089586,0.46622560532310403,0.45511523296539885,2.2901243877664323
0.17-0.32,2434,0.23640596310024395,259.0661462612983,0.4618789498207294,0.4610550989192971,0.4599496650574164,0.4527135622309279,1.8092277274281434
0.32-0.47,892,0.36929180787946303,170.14125560538116,0.5089379338489224,0.512098337758914,0.5092741445940503,0.4954665172875039,2.646966489516471
0.47-0.62,87,0.5197064052932905,102.47126436781609,0.6625734938761215,0.6742377178598541,0.6654144603931017,0.6133664004321305,7.426661932418176
