Bin,Count,Avg_Feature_Value,Avg_Target,LGB_RMSLE,CAT_RMSLE,AVG_RMSLE,META_RMSLE,Improvement_Pct
-81.51--45.03,27,-70.66074074074075,110.33333333333333,0.5437570861247739,0.5586840011539324,0.5494309126116277,0.5311377504724644,2.32076711721488
-45.03--8.56,91,-20.373736263736276,255.8131868131868,0.44312633226076326,0.4487962529712702,0.44390247687725726,0.43790992218112124,1.177183502733563
-8.56-27.92,21208,0.3185698792908335,228.10533760844964,0.4512317728336061,0.4538097941415273,0.45174202715156103,0.44353964403540735,1.7046957376016292
27.92-64.39,1772,49.926822799097074,206.6489841986456,0.48954031507470014,0.4897244323591561,0.48881507534352275,0.47726743250637577,2.507021830561927
64.39-100.87,1568,85.08188775510203,230.63073979591837,0.4695626517617662,0.46658379585373794,0.46650779307840246,0.45843371307776015,1.746756498704603
100.87-137.34,465,119.50978494623656,177.0215053763441,0.47154491298738044,0.4723244400317433,0.4704072088058945,0.4657731031529396,1.2240212279832774
137.34-173.82,740,149.94909459459458,180.84459459459458,0.5046286628867586,0.5024999131854172,0.5015146585606604,0.4916997985226435,2.1492769211262663
173.82-210.29,173,182.92329479768787,653.5953757225434,0.45182246238671114,0.46178923309849157,0.4543460905876389,0.4136877568103409,8.440196924899904
210.29-246.77,216,240.79125,224.63425925925927,0.45036033680520965,0.4689872704895454,0.4573296424126013,0.4456863089502208,1.0378418064400823
