feature,lgb_importance,cat_importance,avg_importance,importance_diff
lag1_x_rolling_mean_3,80.28587449011701,39.454088785111935,59.86998163761447,40.831785705005075
center_meal_orders_median_prod,25.80975050091667,21.448913501025984,23.629332000971328,4.360836999890687
lag1_x_rolling_mean_2,18.86634672629528,21.493627386517787,20.17998705640653,2.6272806602225067
num_orders_lag_1,20.5532874255482,19.634520267268936,20.093903846408566,0.9187671582792625
num_orders_rolling_mean_14,14.158637035468672,19.576866805662984,16.86775192056583,5.418229770194312
num_orders_rolling_mean_21,15.430522945649852,16.881622268968666,16.15607260730926,1.4510993233188145
center_meal_orders_mean_prod,13.633203893915883,14.060354206228157,13.84677905007202,0.4271503123122731
checkout_price,11.106206366928172,9.048150606487264,10.077178486707718,2.058055760440908
num_orders_rolling_mean_5,7.980764190331181,11.53968366424297,9.760223927287075,3.5589194739117893
num_orders_lag_5,8.289372366933776,10.964124836434602,9.626748601684188,2.6747524695008256
num_orders_rolling_mean_10,8.459216379599164,10.032795522722742,9.246005951160953,1.5735791431235775
price_diff_x_emailer,9.448638096470857,8.958554876336088,9.203596486403473,0.49008322013476935
price_diff,7.071662867279952,6.881721750024978,6.976692308652465,0.18994111725497387
mean_orders_by_weekofyear,6.2453408760719835,6.81333019398603,6.5293355350290065,0.567989317914046
rolling_mean_2_x_rolling_mean_3,5.058128129872643,6.847699992292668,5.952914061082655,1.7895718624200248
lag1_x_home,6.248680720289288,5.2934595085045215,5.771070114396904,0.9552212117847665
homepage_featured_poly2_discount,4.669880745291608,6.86783073654479,5.768855740918199,2.197949991253182
rolling_mean_5_x_emailer,6.568640896502419,4.535372013392668,5.552006454947543,2.033268883109751
rolling_mean_2_x_discount_pct,5.0400371753622,5.235959113580142,5.137998144471171,0.1959219382179418
num_orders_rolling_mean_3,0.9995951761540395,7.30842151945807,4.154008347806055,6.308826343304031
rolling_mean_3_x_emailer,3.3382031802647907,4.6886385195781095,4.0134208499214505,1.3504353393133188
num_orders_lag_10,4.852711828240331,2.959748739482112,3.9062302838612215,1.892963088758219
rolling_mean_2_x_price_diff,3.8270781714883952,3.8731509714946046,3.8501145714915,0.04607280000620939
meal_mean_x_discount,3.5613273851960012,3.445648318561067,3.503487851878534,0.1156790666349341
rolling_mean_2_x_home,4.89849016318078,1.6840519962859102,3.291271079733345,3.21443816689487
price_diff_x_home,2.638748170995394,3.5460876596944204,3.092417915344907,0.9073394886990265
num_orders_rolling_mean_2,0.3756670799701559,5.785133906090719,3.0804004930304374,5.409466826120563
homepage_featured,1.7665074524449398,4.0452761812703315,2.9058918168576358,2.2787687288253915
lag1_x_lag2,2.0381587104703427,3.496535316776904,2.767347013623623,1.4583766063065613
num_orders_lag_3,2.928374115778799,2.5157833545768464,2.7220787351778224,0.41259076120195237
lag1_x_emailer,3.1882570126072443,2.1295616627620895,2.658909337684667,1.0586953498451548
meal_orders_std,1.7569682573198147,3.341496269682543,2.549232263501179,1.5845280123627286
center_mean_x_discount,2.75224095369329,2.180804697627682,2.466522825660486,0.5714362560656081
meal_orders_median,1.6988192432561133,3.1415725762254674,2.4201959097407904,1.442753332969354
emailer_for_promotion,1.1353608164723266,3.5764831445911853,2.3559219805317557,2.4411223281188588
discount_pct,1.7673296399873575,2.8428101703990634,2.3050699051932106,1.0754805304117059
category_Beverages,1.8736980569117827,2.3540344165111513,2.113866236711467,0.4803363595993686
base_price,1.5265139712526767,2.603776544889321,2.065145258070999,1.0772625736366443
seasonal_week_x_price,1.1825234387267618,2.6107052222002083,1.896614330463485,1.4281817834734465
emailer_for_promotion_rolling_mean_7,2.252678865156731,1.4566816847362356,1.8546802749464835,0.7959971804204955
center_orders_mean_poly2_meal_orders_mean,1.4756156950201837,2.022617658145627,1.7491166765829056,0.5470019631254435
weekofyear,1.620097669748203,1.8356096544861258,1.7278536621171643,0.21551198473792277
num_orders_lag_2,2.21743955735111,1.2070883431359565,1.7122639502435333,1.0103512142151534
emailer_for_promotion_rolling_mean_21,1.4955351303397677,1.9062147605300261,1.7008749454348968,0.41067963019025844
center_orders_mean,1.922151974183205,1.3172093840529222,1.6196806791180636,0.6049425901302827
price_ratio,1.4471557945342388,1.7709623318253516,1.6090590631797952,0.32380653729111275
emailer_for_promotion_rolling_mean_20,1.4256547451276165,1.631911576229953,1.5287831606787847,0.2062568311023365
rolling_mean_2_x_emailer,1.316422819011641,1.4045651129896213,1.360493966000631,0.08814229397798035
discount,1.1178477573419274,1.5684763212167703,1.3431620392793489,0.45062856387484285
mean_orders_by_month,1.2866083791927443,1.3913554095462701,1.3389818943695073,0.10474703035352584
num_orders_rolling_std_21,1.2476193110058196,1.379917338764536,1.313768324885178,0.13229802775871646
emailer_for_promotion_rolling_mean_14,1.1923735755707527,1.3132232456891564,1.2527984106299546,0.12084967011840364
