Segment,Count,Percentage,Avg_Order_Volume,LGB_RMSLE,CAT_RMSLE,AVG_RMSLE,META_RMSLE,META_vs_Best_Improvement
11-25,2142,8.155339805825243,13.993930905695612,0.8368580483766331,0.8390259183279444,0.8372511667011802,0.825609929280958,1.3440892535471978
26-50,3784,14.407005520654865,33.711945031712474,0.5541377171156436,0.5570386793867111,0.554587907907942,0.5398357032617198,2.5809493582872505
51-100,5248,19.980963259090043,72.43635670731707,0.4757630164318504,0.4785842588977768,0.47608614257269677,0.4704485331137149,1.1170442288670026
101-500,11960,45.53588425661527,238.91789297658863,0.34558533594595736,0.34754992957683734,0.34554649394888115,0.3378968903500678,2.2247603691991915
500+,3131,11.920807157814583,822.6675183647397,0.26021377648526967,0.2607110589541423,0.2595964873650039,0.2516248503747437,3.300719211156824
