Approach,Validation RMSLE,Validation RMSE,Validation MAE,Training RMSLE,Training RMSE,Training MAE,Features,Training Time (s),Overfitting (RMSLE)
Enhanced (Optimized),0.424763599919419,87.8533115220601,39.55513917469119,0.1436310331474187,30.687266318199246,11.37413004773492,77,90.17809271812439,0.28113256677200027
Enhanced (All Features),0.5140595469178054,115.43583144906557,54.669359467770484,0.3003363297088989,52.756243956255865,20.262905313291583,77,3.089686393737793,0.21372321720890652
Baseline (Optimized),0.5927350995742544,123.53118903335897,72.00598282000314,0.5174079726678212,128.09722961951786,68.212314121503,46,55.24345564842224,0.07532712690643317
Baseline (Minimal Features),0.67948654287639,141.75279996559203,80.74673085581163,0.5799253285726929,155.6652188792961,78.15544753033704,46,1.760763168334961,0.09956121430369713
