seed,cv,fold,rmsle,mae,r2
13,TimeSeriesSplit,1,0.5385658825697153,71.03260611383374,0.8429927148936776
13,TimeSeriesSplit,2,0.4937882251468133,61.77432070700341,0.8801340750489515
13,TimeSeriesSplit,3,0.5335956374682879,66.02527756669203,0.8380886104846917
13,TimeSeriesSplit,4,0.5051338146269444,70.19991787168097,0.8696954334800332
13,TimeSeriesSplit,5,0.5133153694763527,62.791097418181046,0.8130025781942358
13,GroupTimeSeriesSplit,1,0.4934630742424595,78.08008479253611,0.862023108960684
13,GroupTimeSeriesSplit,2,0.5107975644275297,74.53928899397722,0.8232802163700754
13,GroupTimeSeriesSplit,3,0.5329720402213849,61.30654796120005,0.8506473433226884
13,GroupTimeSeriesSplit,4,0.505100526343479,72.93086172496693,0.7980154558970094
13,GroupTimeSeriesSplit,5,0.513272533286881,66.57989693154465,0.830233496496201
13,RollingGroupTimeSeriesSplit,1,0.49654393650716266,68.10850758353754,0.8734592875495774
13,RollingGroupTimeSeriesSplit,2,0.49254714336345823,68.2928067438002,0.8156104597333633
13,RollingGroupTimeSeriesSplit,3,0.5109579959817531,75.97429562623134,0.7864106301730598
13,RollingGroupTimeSeriesSplit,4,0.5245217497534568,73.7220942331927,0.7685106821853185
13,RollingGroupTimeSeriesSplit,5,0.5102556446298323,67.19660190225622,0.8179181241234307
123,TimeSeriesSplit,1,0.5385658825697153,71.03260611383374,0.8429927148936776
123,TimeSeriesSplit,2,0.4937882251468133,61.77432070700341,0.8801340750489515
123,TimeSeriesSplit,3,0.5308483499219101,66.04433010113853,0.8378197932893479
123,TimeSeriesSplit,4,0.508562365950656,70.57703629984223,0.8684268522064345
123,TimeSeriesSplit,5,0.5249941323821682,62.618694908154716,0.8120269211524352
123,GroupTimeSeriesSplit,1,0.5001895540979405,80.15864120904483,0.8529701666741907
123,GroupTimeSeriesSplit,2,0.5026920099343788,75.7255633313716,0.8083242398400734
123,GroupTimeSeriesSplit,3,0.5305187741433245,61.639204131367585,0.847717886748238
123,GroupTimeSeriesSplit,4,0.5054518862320733,72.69157524646164,0.795106601528724
123,GroupTimeSeriesSplit,5,0.5189123313414451,67.20657447144757,0.8277137194880919
123,RollingGroupTimeSeriesSplit,1,0.49780423130403734,68.10462393149183,0.8706425459865192
123,RollingGroupTimeSeriesSplit,2,0.5248112730760849,68.73144737593717,0.8097538488983589
123,RollingGroupTimeSeriesSplit,3,0.5014011299288542,74.92531831025516,0.788088784847367
123,RollingGroupTimeSeriesSplit,4,0.5018643322581899,72.987289540436,0.7864013822643597
123,RollingGroupTimeSeriesSplit,5,0.5148605770677303,67.44837384034734,0.8196940495024492
1999,TimeSeriesSplit,1,0.5385658825697153,71.03260611383374,0.8429927148936776
1999,TimeSeriesSplit,2,0.4937882251468133,61.77432070700341,0.8801340750489515
1999,TimeSeriesSplit,3,0.5305662741255899,66.32351237977007,0.8322614018674527
1999,TimeSeriesSplit,4,0.5108322815702611,70.73489785444256,0.8680444240683296
1999,TimeSeriesSplit,5,0.5177337910115333,62.57722549066076,0.8138217004548839
1999,GroupTimeSeriesSplit,1,0.5160083552761551,79.76456791390521,0.8538585666745342
1999,GroupTimeSeriesSplit,2,0.5066702690579296,75.41013265433754,0.8107861386139769
1999,GroupTimeSeriesSplit,3,0.5266809567122163,61.46616125793177,0.8511720551329227
1999,GroupTimeSeriesSplit,4,0.5022772205392055,71.85349235379746,0.8102872383557138
1999,GroupTimeSeriesSplit,5,0.5244309100203863,67.30464289728609,0.824563657881155
1999,RollingGroupTimeSeriesSplit,1,0.49363316093670245,68.17322786855888,0.8710129235355611
1999,RollingGroupTimeSeriesSplit,2,0.4838790701383142,68.20948875591111,0.8127499668985354
1999,RollingGroupTimeSeriesSplit,3,0.5362520253739792,75.2055237227766,0.787776423246543
1999,RollingGroupTimeSeriesSplit,4,0.501794940419262,73.33910237778588,0.7808229305784469
1999,RollingGroupTimeSeriesSplit,5,0.5175548028360573,67.081853367327,0.8181583467486524
2025,TimeSeriesSplit,1,0.5385658825697153,71.03260611383374,0.8429927148936776
2025,TimeSeriesSplit,2,0.4937882251468133,61.77432070700341,0.8801340750489515
2025,TimeSeriesSplit,3,0.5310496135820588,66.04026243218709,0.8355223395402774
2025,TimeSeriesSplit,4,0.5095461405716184,70.06987727925842,0.87215599685208
2025,TimeSeriesSplit,5,0.515310964494042,62.479051328623065,0.8173003348217304
2025,GroupTimeSeriesSplit,1,0.4951414103419095,78.57898080070103,0.8595239338967231
2025,GroupTimeSeriesSplit,2,0.5040213250810629,76.07975211533608,0.805773795197948
2025,GroupTimeSeriesSplit,3,0.5317506097051143,61.5709738241028,0.8506279977708422
2025,GroupTimeSeriesSplit,4,0.5015962226101343,72.40087491414195,0.8014525724455033
2025,GroupTimeSeriesSplit,5,0.515887365011402,67.19580236221731,0.8244646793979653
2025,RollingGroupTimeSeriesSplit,1,0.4978401119705356,68.66161955308323,0.8708385243725192
2025,RollingGroupTimeSeriesSplit,2,0.4977743412522391,67.8983434993326,0.8206995967838846
2025,RollingGroupTimeSeriesSplit,3,0.5058228358928092,75.91310819709447,0.7850859995948546
2025,RollingGroupTimeSeriesSplit,4,0.5117844717157368,73.22646498530615,0.7859423761541882
2025,RollingGroupTimeSeriesSplit,5,0.5141149387658399,67.19876356448222,0.8186602945319463
9001,TimeSeriesSplit,1,0.5385658825697153,71.03260611383374,0.8429927148936776
9001,TimeSeriesSplit,2,0.4937882251468133,61.77432070700341,0.8801340750489515
9001,TimeSeriesSplit,3,0.5317985537871909,66.33502995583366,0.8330504588412686
9001,TimeSeriesSplit,4,0.5011552015202984,70.08150797859457,0.8732860207836276
9001,TimeSeriesSplit,5,0.5264840769689854,62.58597462760333,0.8175220731389017
9001,GroupTimeSeriesSplit,1,0.49494932363818894,79.12149213260598,0.8574329456107967
9001,GroupTimeSeriesSplit,2,0.5081713941580175,74.70524846158389,0.8157787305472974
9001,GroupTimeSeriesSplit,3,0.536656191423995,61.67419150477476,0.8487077894717269
9001,GroupTimeSeriesSplit,4,0.5057004468999949,72.37669786225125,0.804773287157301
9001,GroupTimeSeriesSplit,5,0.5151774022551965,66.99301591637716,0.8256581628044195
9001,RollingGroupTimeSeriesSplit,1,0.49466954615561387,68.1347365612807,0.870862842705413
9001,RollingGroupTimeSeriesSplit,2,0.4871207912507841,68.10245956846062,0.8134129422129371
9001,RollingGroupTimeSeriesSplit,3,0.4976706095660352,75.55068132251901,0.7913748729705176
9001,RollingGroupTimeSeriesSplit,4,0.5318674662762414,73.53257651325288,0.7783573327506623
9001,RollingGroupTimeSeriesSplit,5,0.5186366133976655,67.70303374330094,0.8153385295794717
