seed,cv,mean_rmsle,std_rmsle,mean_mae,std_mae,mean_r2,std_r2
13,TimeSeriesSplit,0.5168797858576226,0.016932805827906926,66.36464393547823,3.753815889190597,0.8487826824203181,0.02386778470488435
13,GroupTimeSeriesSplit,0.5111211477043469,0.012886039809105583,70.68733608084499,5.989890219126025,0.8328399242093317,0.022269654332036492
13,RollingGroupTimeSeriesSplit,0.5069652940471325,0.011414770911209259,70.6588612178036,3.513602039466837,0.8123818367529501,0.03569512923166123
123,TimeSeriesSplit,0.5193517911942526,0.01614370335575395,66.40939762599453,3.866003318040127,0.8482800713181694,0.02396762309942132
123,GroupTimeSeriesSplit,0.5115529111498325,0.011478057183430958,71.48431167793865,6.479427010734823,0.8263665228558636,0.022217813578494696
123,RollingGroupTimeSeriesSplit,0.5081483087269794,0.010146148499837717,70.4394105996935,2.964109415653614,0.8149161222998108,0.030619302363091943
1999,TimeSeriesSplit,0.5182972908847826,0.015608215517315728,66.48851250914211,3.904601662653107,0.8474508632666591,0.023974163154665728
1999,GroupTimeSeriesSplit,0.5152135423211786,0.009564822288457541,71.15979941545162,6.346927381887201,0.8301335313316607,0.01899851165681626
1999,RollingGroupTimeSeriesSplit,0.506622799940863,0.018475474994797965,70.4018392184719,3.2403183434784375,0.8141041182015478,0.0318046147301176
2025,TimeSeriesSplit,0.5176521652728495,0.015859077452701063,66.27922357218115,3.788304698571365,0.8496210922313434,0.023350398796588977
2025,GroupTimeSeriesSplit,0.5096793865499245,0.01291806362604015,71.16527680329983,6.139204414909954,0.8283685957417963,0.023308255871090127
2025,RollingGroupTimeSeriesSplit,0.5054673399194322,0.006814254647505119,70.57965995985974,3.3985303983277415,0.8162453582874786,0.03128981400118146
9001,TimeSeriesSplit,0.5183583879986007,0.017633208681805155,66.36188787657373,3.767099608510688,0.8493970685412853,0.023831442820440002
9001,GroupTimeSeriesSplit,0.5121309516750786,0.013878083983534989,70.9741291755186,6.076283019481615,0.8304701831183083,0.01979356272583068
9001,RollingGroupTimeSeriesSplit,0.505993005329268,0.016631247802886648,70.60469754176283,3.280755576102582,0.8138693040438003,0.031678793769344835
