cv,mean_rmsle,std_rmsle,folds
KFold,0.5260712727656331,0.0034186819460386765,"[np.float64(0.5241686131194933), np.float64(0.5287924899613079), np.float64(0.5210379137586871), np.float64(0.5307472154864294), np.float64(0.5256101315022481)]"
StratifiedKFold,0.5256663391245694,0.002611353155177222,"[np.float64(0.5232934130162749), np.float64(0.5262039860707236), np.float64(0.5265969853577762), np.float64(0.52978612755019), np.float64(0.5224511836278825)]"
TimeSeriesSplit,0.5583260283056146,0.015994579593672745,"[np.float64(0.5709722699785056), np.float64(0.5343638139410868), np.float64(0.5735587101159703), np.float64(0.5440122531565899), np.float64(0.5687230943359203)]"
GroupKFold(center_id),0.5437463944431625,0.007791791325457569,"[np.float64(0.5436772073271705), np.float64(0.5547776668307932), np.float64(0.5497802848370161), np.float64(0.535964952231513), np.float64(0.5345318609893204)]"
GroupTimeSeriesSplit,0.5511115895508603,0.01807087867845181,"[np.float64(0.5368491955583682), np.float64(0.5415508612711686), np.float64(0.5799390815889367), np.float64(0.5328865913407895), np.float64(0.5643322179950383)]"
CustomTimeSeriesOverlap,0.5556101994842804,0.0010375085580419663,"[np.float64(0.5566477080423223), np.float64(0.5545726909262384)]"
RepeatedMultilabelStratifiedKFold,0.5260902210441856,0.002183669372860198,"[np.float64(0.5285305837669397), np.float64(0.5287549721260147), np.float64(0.5250130103893337), np.float64(0.5228371122580167), np.float64(0.5262661990686631), np.float64(0.5241862756962159), np.float64(0.5295983496513288), np.float64(0.5239014390485355), np.float64(0.5291587069294006), np.float64(0.5239330216635426), np.float64(0.5248565521255262), np.float64(0.5254783110507268), np.float64(0.5237298573410496), np.float64(0.5272821641586222), np.float64(0.5278267603888658)]"
MultilabelStratifiedKFold,0.5262803755217936,0.002220339737725775,"[np.float64(0.5285305837669397), np.float64(0.5287549721260147), np.float64(0.5250130103893337), np.float64(0.5228371122580167), np.float64(0.5262661990686631)]"
